id,name_de,name,name_de_html,category,co2_for_16fu_without_air,co2_for_100g_without_air,co2_base,sum_transport_for_16fu,land_transport,sea_transport,air_transport,food_unit,energy_in_kcal,kcal_for_16fu,weight_for_16fu,co2_for_100kcal_without_air
hefe,Hefe,Yeast (fresh),Hefe,spices & condiments,274,75.45,73.4,7,2.1,0.0,0.0,0.44,96.02,349,364,78.51002865329512
himbeeressig,Himbeeressig,Raspberry vinegar,Himbeeressig,spices & condiments,5764,252.19,250.0,50,2.2,0.0,0.0,0.07,22.45,513,2286,1123.5867446393763
honig,Honig,Honey,Honig,spices & condiments,413,93.03,75.0,80,9.4,8.61,0.0,0.36,310.5,1380,444,29.92753623188406
ingwer,Ingwer,Ginger,Ingwer,spices & condiments,544,54.36,30.0,244,8.2,16.15,0.0,0.16,81.0,810,1000,67.1604938271605
kakaopulver,Kakaopulver,Cocoa powder,Kakaopulver,spices & condiments,92,57.81,40.09,28,10.9,6.78,0.0,1.0,403.65,646,160,14.241486068111454
kapern,Kapern,Capers,Kapern,spices & condiments,1535,105.53,71.0,502,34.1,0.46,0.0,0.11,22.36,325,1455,472.3076923076923
kardamom,Kardamom,Cardamom,Kardamom,spices & condiments,165,64.53,30.0,88,34.1,0.46,0.0,0.625,321.0,822,256,20.072992700729927
kartoffelstaerke,Kartoffelstärke,Starch (potato),Kartoffelstärke,spices & condiments,600,150.11,148.0,8,2.0,0.1,0.0,0.4,341.55,1366,400,43.92386530014641
kerbel,Kerbel,Chervil,Kerbel,spices & condiments,217,21.19,15.0,63,6.1,0.06,3.59,0.156,19.12,196,1026,110.71428571428572
ketchup,Ketchup,Ketchup,Ketchup,spices & condiments,910,113.8,96.8,136,15.0,2.0,0.0,0.2,118.95,952,800,95.58823529411764
koriander,Koriander,Coriander,Koriander,spices & condiments,599,41.15,30.0,162,8.8,2.37,142.05,0.11,21.97,320,1455,187.1875
kraeuter,Kräuter,Herbs,Kräuter,spices & condiments,574,64.53,30.0,307,34.1,0.46,0.0,0.18,44.0,391,889,146.80306905370844
kraeutertee,Kräutertee,Herbal tea,Kräutertee,beverages,7152,178.79,154.0,992,24.8,0.0,0.0,0.04,0.0,0,4000,inf
kreuzkuemmel,Kreuzkümmel,Cumin,Kreuzkümmel,spices & condiments,109,64.53,30.0,58,34.1,0.46,0.0,0.946,405.0,685,169,15.912408759124087
kurkuma,Kurkuma,Turmeric,Kurkuma,spices & condiments,188,64.53,30.0,101,34.1,0.46,0.0,0.549,291.0,848,291,22.16981132075472
limettensaft,Limettensaft,Lime juice,Limettensaft,spices & condiments,3894,170.38,162.2,187,8.2,0.0,0.0,0.07,24.0,549,2286,709.2896174863388
lorbeer,Lorbeer,Laurel,Lorbeer,spices & condiments,283,31.81,21.0,96,7.8,3.0,179.77,0.18,44.0,391,889,72.37851662404093
liebstoeckel,Liebstöckel,Lovage,Liebstöckel,spices & condiments,188,21.19,15.0,55,6.1,0.06,3.59,0.18,44.0,391,889,48.08184143222506
majoran,Majoran,Marjoram,Majoran,spices & condiments,283,31.81,21.0,96,7.8,3.0,179.77,0.18,44.0,391,889,72.37851662404093
mangomark,Mangomark,Mango pulp,Mangomark,spices & condiments,625,46.84,26.0,278,10.8,10.08,604.74,0.12,58.01,773,1333,80.85381630012937
marmelade,Marmelade,Jam,Marmelade,spices & condiments,795,154.0,131.0,119,18.0,5.0,0.0,0.31,248.4,1282,516,62.01248049921997
mayonnaise,Mayonnaise,Mayonnaise,Mayonnaise,spices & condiments,217,191.37,153.0,44,24.8,13.58,0.0,1.41,728.48,827,113,26.239419588875453
melasse,Melasse,Molasses,Melasse,spices & condiments,536,117.35,110.0,34,5.3,2.02,0.0,0.35,277.06,1267,457,42.30465666929755
milchschokolade,Milchschokolade,Chocolate (milk),Milchschokolade,spices & condiments,650,377.72,360.0,30,10.9,6.78,0.0,0.93,535.01,920,172,70.65217391304348
minze,Minze,Mint,Minze,spices & condiments,318,31.81,21.0,108,7.8,3.0,179.77,0.16,48.96,490,1000,64.89795918367346
muskat,Muskat,Nutmeg,Muskat,spices & condiments,408,244.61,226.0,31,6.8,11.77,0.0,0.96,537.64,896,167,45.535714285714285
nelken,Nelken,Cloves,Nelken,spices & condiments,83,26.46,13.7,40,6.3,6.43,385.97,0.51,431.0,1352,314,6.1390532544378695
oregano,Oregano,Oregano,Oregano,spices & condiments,283,28.81,18.0,106,7.8,3.0,179.77,0.163,63.18,620,982,45.64516129032258
paprikapulver,Paprikapulver,Paprika (powder),Paprikapulver,spices & condiments,871,421.41,406.0,32,14.7,0.75,44.97,0.774,356.0,736,207,118.34239130434784
petersilie,Petersilie,Parsley,Petersilie,spices & condiments,243,25.81,15.0,102,7.8,3.0,179.77,0.17,56.13,528,941,46.02272727272727
pfeffer,Pfeffer,Pepper,Pfeffer,spices & condiments,2024,531.38,417.0,436,113.6,0.78,0.0,0.42,76.0,290,381,697.9310344827586
reisessig,Reisessig,Rice vinegar,Reisessig,spices & condiments,8077,353.37,315.0,877,24.8,13.58,0.0,0.07,22.45,513,2286,1574.4639376218324
rosmarin,Rosmarin,Rosemary,Rosmarin,spices & condiments,354,31.0,18.0,149,13.0,0.0,0.0,0.14,62.1,710,1143,49.85915492957746
safran,Safran,Saffron,Safran,spices & condiments,215,68.5,30.0,121,37.6,0.92,0.0,0.51,180.0,565,314,38.05309734513274
salbei,Salbei,Sage,Salbei,spices & condiments,425,39.81,29.0,115,7.8,3.0,179.77,0.15,58.04,619,1067,68.65912762520193
salz,Salz,Salt,Salz,spices & condiments,301,32.0,20.0,113,10.0,2.0,0.0,0.17,0.0,0,941,inf
sambal_oelek,Sambal Oelek,Sambal oelek,Sambal Oelek,spices & condiments,1405,105.37,67.0,512,24.8,13.58,0.0,0.12,28.0,373,1333,376.6756032171582
schnittlauch,Schnittlauch,Chives,Schnittlauch,spices & condiments,466,37.87,35.0,35,2.4,0.43,25.82,0.13,29.62,365,1231,127.67123287671232
dunkle_schokolade,Dunkle Schokolade,Chocolate (dark),Dunkle Schokolade,spices & condiments,401,228.0,210.0,32,15.0,3.0,0.0,0.91,532.63,936,176,42.84188034188034
senf,Senf,Mustard,Senf,spices & condiments,492,110.81,70.0,181,21.9,18.87,0.0,0.36,142.0,631,444,77.97147385103011
senfsamen,Senfsamen,Mustard seeds,Senfsamen,spices & condiments,593,478.44,417.0,76,24.6,36.89,0.0,1.29,509.7,632,124,93.82911392405065
sherry-essig,Sherry-Essig,Sherry vinegar,Sherry-Essig,spices & condiments,6785,296.84,290.0,156,6.8,0.0,0.0,0.07,22.45,513,2286,1322.6120857699805
sojasauce,Sojasauce,Soy sauce,Sojasauce,spices & condiments,827,134.37,96.0,236,24.8,13.58,0.0,0.26,60.0,369,615,224.11924119241192
maisstaerke,Maisstärke,Starch (corn),Maisstärke,spices & condiments,471,120.62,117.0,14,3.6,0.0,0.0,0.41,360.66,1407,390,33.47547974413646
sternanis,Sternanis,Star anise,Sternanis,spices & condiments,201,63.95,30.0,107,33.7,0.3,0.0,0.51,180.0,565,314,35.575221238938056
suesse_paprika,Süße Paprika,Sweet paprika,Süße Paprika,spices & condiments,202,64.53,30.0,108,34.1,0.46,0.0,0.51,180.0,565,314,35.75221238938053
suessholz,Süssholz,Licorice,Süssholz,spices & condiments,215,64.53,30.0,115,34.1,0.46,0.0,0.481,359.0,1194,333,18.00670016750419
tamarinde,Tamarinde,Tamarind,Tamarinde,spices & condiments,1349,177.0,163.0,107,9.0,5.01,0.0,0.21,139.0,1059,762,127.38432483474976
thymian,Thymian,Thyme,Thymian,spices & condiments,382,31.0,18.0,160,13.0,0.0,0.0,0.13,52.55,647,1231,59.041731066460585
tomatenkonzentrat,Tomatenkonzentrat,Tomato paste,Tomatenkonzentrat,spices & condiments,1386,173.2,165.0,66,8.2,0.0,0.0,0.2,78.0,624,800,222.1153846153846
tomatensauce,Tomatensauce,Tomato sauce,Tomatensauce,spices & condiments,932,93.2,85.0,82,8.2,0.0,0.0,0.16,68.79,688,1000,135.46511627906978
traubenzucker,Traubenzucker,Dextrose,Traubenzucker,spices & condiments,1731,476.02,474.0,7,2.0,0.0,0.0,0.44,399.0,1451,364,119.29703652653345
vanilleschoten,Vanilleschoten,Vanilla beans,Vanilleschoten,spices & condiments,13094,1391.28,1341.0,473,38.7,11.61,0.0,0.17,0.0,0,941,inf
wacholderbeeren,Wacholderbeeren,Juniper berries,Wacholderbeeren,spices & condiments,672,46.19,44.0,32,2.2,0.0,0.0,0.11,37.69,548,1455,122.62773722627738
weisse_schokolade,Weiße Schokolade,Chocolate (white),Weiße Schokolade,spices & condiments,691,427.72,410.0,29,10.9,6.78,0.0,0.99,566.06,915,162,75.51912568306011
weissweinessig,Weißweinessig,White wine vinegar,Weißweinessig,spices & condiments,3370,147.44,137.0,239,9.3,1.1,0.0,0.07,22.45,513,2286,656.9200779727096
weizenstaerke,Weizenstärke,Starch (wheat),Weizenstärke,spices & condiments,333,85.35,78.0,29,5.3,2.02,0.0,0.41,353.49,1379,390,24.14793328498912
wermut,Wermut,Vermouth,Wermut,spices & condiments,2734,290.44,280.0,98,9.3,1.1,0.0,0.17,139.01,1308,941,209.02140672782875
zimt,Zimt,Cinnamon,Zimt,spices & condiments,294,64.25,30.0,157,28.2,6.02,0.0,0.35,147.0,672,457,43.75
zitronenmelisse,Zitronenmelisse,Lemon balm,Zitronenmelisse,spices & condiments,283,31.81,21.0,96,7.8,3.0,179.77,0.18,29.92,266,889,106.39097744360902
zitronensaft,Zitronensaft,Lemon juice,Zitronensaft,spices & condiments,3404,170.18,162.0,164,8.2,0.0,0.0,0.08,29.86,597,2000,570.1842546063651
zucker_(rohr),Zucker (Rohr),Sugar (sugar cane),Zucker (Rohr),spices & condiments,450,126.53,112.0,52,13.3,1.24,0.0,0.45,406.04,1444,356,31.16343490304709
zucker_(rueben),Zucker (Rüben),Sugar (sugar beet),Zucker (Rüben),spices & condiments,132,37.02,35.0,7,2.0,0.0,0.0,0.45,406.04,1444,356,9.141274238227147
amaranth,Amaranth,Amaranth,Amaranth,starches & bread,84,36.95,35.0,4,2.0,0.0,0.0,0.7,369.0,843,229,9.9644128113879
basmatireis,Basmatireis,Basmati rice,Basmatireis,starches & bread,933,303.37,265.0,118,24.8,13.58,0.0,0.52,353.49,1088,308,85.75367647058823
blaetterteig,Blätterteig,Puff pastry (vegetable fats),Blätterteig,starches & bread,260,108.85,101.5,18,5.3,2.02,0.0,0.67,355.88,850,239,30.58823529411765
brot,Brot,Bread,Brot,starches & bread,343,94.35,87.0,27,5.3,2.02,0.0,0.44,246.01,895,364,38.32402234636872
buchweizen,Buchweizen,Buckwheat,Buchweizen,starches & bread,281,84.35,77.0,25,5.3,2.02,0.0,0.48,277.06,924,333,30.41125541125541
buchweizenmehl,Buchweizenmehl,Buckwheat flour,Buch&shy;weizen&shy;mehl,starches & bread,202,78.35,71.0,19,5.3,2.02,0.0,0.62,346.33,894,258,22.595078299776286
bulgur,Bulgur,Bulgur,Bulgur,starches & bread,253,96.56,83.0,36,13.6,0.0,0.0,0.61,329.13,863,262,29.316338354577056
couscous,Couscous,Couscous,Couscous,starches & bread,190,78.35,71.0,18,5.3,2.02,0.0,0.66,351.0,851,242,22.326674500587544
dinkelmehl,Dinkelmehl,Spelled flour,Dinkelmehl,starches & bread,212,87.35,80.0,18,5.3,2.02,0.0,0.66,353.49,857,242,24.73745624270712
dinkelvollkorn,Dinkelvollkornmehl,Spelled wholemeal,Dinkelvollkornmehl,starches & bread,95,33.34,28.0,15,5.3,0.0,0.0,0.56,330.24,944,286,10.063559322033898
fruehkartoffeln,Frühkartoffeln,Early potatoes,Frühkartoffeln,vegetables & mushrooms,364,36.43,34.0,24,2.3,0.17,0.0,0.16,76.43,764,1000,47.64397905759162
glasnudeln,Glasnudeln,Glass noodles,Glasnudeln,legumes,306,76.62,73.0,14,3.6,0.0,0.0,0.4,349.9,1400,400,21.857142857142858
gluten,Gluten,Gluten (wheat),Gluten,starches & bread,209,224.35,217.0,7,5.3,2.02,0.0,1.72,370.0,344,93,60.75581395348837
gnocchi,Gnocchi,Gnocchi (potato),Gnocchi,starches & bread,347,69.45,62.1,37,5.3,2.02,0.0,0.32,174.84,874,500,39.7025171624714
goldhirse,Goldhirse,Gold millet,Goldhirse,starches & bread,164,62.34,35.0,72,21.7,5.66,0.0,0.61,360.66,946,262,17.33615221987315
gerste,Gerste,Pearl barley,Gerste,starches & bread,187,61.85,59.0,9,2.9,0.0,0.0,0.53,334.38,1009,302,18.53320118929633
gruenkernschrot,Grünkernschrot,Green spelt wholemeal,Grünkernschrot,starches & bread,206,87.35,80.0,17,5.3,2.02,0.0,0.68,340.0,800,235,25.75
hafer,Hafer,Oats,Hafer,starches & bread,277,98.56,85.0,38,13.6,0.0,0.0,0.57,353.0,991,281,27.95156407669021
hartweizengriess,Hartweizengrieß,Durum wheat semolina,Hartweizengrieß,starches & bread,199,78.35,71.0,19,5.3,2.02,0.0,0.63,355.88,904,254,22.013274336283185
hirse,Hirse,Millet,Hirse,starches & bread,161,61.36,35.0,69,12.3,14.1,0.0,0.61,360.66,946,262,17.019027484143763
