id,name_de,name,name_de_html,category,co2_for_16fu_without_air,co2_for_100g_without_air,co2_base,sum_transport_for_16fu,land_transport,sea_transport,air_transport,food_unit,energy_in_kcal,kcal_for_16fu,weight_for_16fu,co2_for_100kcal_without_air
gruener_spargel,Grüner Spargel,Green asparagus,Grüner Spargel,vegetables & mushrooms,1368,102.63,86.0,222,10.7,5.95,357.12,0.12,23.14,309,1333,442.71844660194176
gruenkohl,Grünkohl,Kale,Grünkohl,vegetables & mushrooms,276,29.35,25.0,41,4.4,0.0,0.0,0.17,23.51,221,941,124.8868778280543
gurken,Gurken,Cucumber,Gurken,vegetables & mushrooms,501,28.18,18.0,181,10.2,0.0,0.0,0.09,9.9,176,1778,284.65909090909093
jalapeno,Jalapeno,Jalapeno,Jalapeno,vegetables & mushrooms,1584,59.41,44.0,411,14.7,0.75,44.97,0.06,15.0,400,2667,396.0
karotten,Karotten,Carrots,Karotten,vegetables & mushrooms,295,17.7,15.0,45,2.7,0.0,0.0,0.096,37.76,629,1667,46.89984101748808
knoblauch,Knoblauch,Garlic,Knoblauch,vegetables & mushrooms,328,59.36,35.0,134,8.2,16.15,0.0,0.29,121.49,670,552,48.95522388059702
knollensellerie,Knollensellerie,Celery root,Knollensellerie,vegetables & mushrooms,543,40.7,38.0,36,2.7,0.0,0.0,0.12,20.4,272,1333,199.6323529411765
kohl,Kohl,Cabbage,Kohl,vegetables & mushrooms,435,29.88,25.0,71,4.9,0.0,0.0,0.11,23.66,344,1455,126.45348837209302
kohlrabi,Kohlrabi,Turnip cabbage,Kohlrabi,vegetables & mushrooms,426,27.7,25.0,42,2.7,0.0,0.0,0.104,27.0,415,1538,102.65060240963857
kopfsalat,Kopfsalat,Lettuce,Kopfsalat,vegetables & mushrooms,550,27.18,21.0,125,6.2,0.0,0.0,0.079,14.1,286,2025,192.30769230769232
kuerbis,Kürbis,Pumpkin,Kürbis,vegetables & mushrooms,181,8.62,5.14,73,3.5,0.0,0.0,0.076,23.42,493,2105,36.71399594320487
lauch,Lauch,Leek,Lauch,vegetables & mushrooms,507,41.22,35.0,77,6.2,0.0,0.0,0.13,17.18,211,1231,240.28436018957345
mais,Mais,Corn,Mais,starches & bread,365,45.62,42.0,29,3.6,0.0,0.0,0.2,93.15,745,800,48.99328859060402
mangold,Mangold,Chard,Mangold,vegetables & mushrooms,333,21.63,15.0,102,6.6,0.0,0.0,0.104,23.18,357,1538,93.27731092436974
meerrettich,Meerrettich,Horseradish,Meer&shy;rettich,vegetables & mushrooms,271,35.63,29.0,51,6.6,0.0,0.0,0.21,80.0,610,762,44.42622950819672
mu-err_pilze,Mu-Err Pilze,Wood-ear fungus,Mu-Err Pilze,vegetables & mushrooms,2469,169.73,165.0,69,4.7,0.0,0.0,0.11,25.08,365,1455,676.4383561643835
pak_choi,Pak Choi,Pak choi,Pak Choi,vegetables & mushrooms,531,29.88,25.0,87,4.9,0.0,0.0,0.09,11.13,198,1778,268.1818181818182
pastinaken,Pastinaken,Parsnips,Pastinaken,vegetables & mushrooms,199,17.7,15.0,30,2.7,0.0,0.0,0.142,65.1,734,1127,27.111716621253407
peperoncini,Peperoncini,Peperoncini,Peperoncini,vegetables & mushrooms,697,56.65,44.0,156,11.2,1.41,84.6,0.13,36.6,450,1231,154.88888888888889
paprika,Paprika,Paprika,Paprika,vegetables & mushrooms,1033,59.41,44.0,268,14.7,0.75,44.97,0.092,32.0,557,1739,185.45780969479355
pfifferlinge,Pfifferlinge,Chanterelles,Pfifferlinge,vegetables & mushrooms,796,54.73,50.0,69,4.7,0.0,0.0,0.11,16.62,242,1455,328.92561983471074
pilze,Pilze,Mushrooms,Pilze,vegetables & mushrooms,2343,175.73,171.0,63,4.7,0.0,0.0,0.12,22.0,293,1333,799.6587030716723
portulak,Portulak,Portulaca,Portulak,vegetables & mushrooms,544,27.19,21.0,124,6.1,0.06,3.59,0.08,18.34,367,2000,148.22888283378745
radicchio,Radicchio,Radicchio,Radicchio,vegetables & mushrooms,625,35.18,29.0,110,6.2,0.0,0.0,0.09,11.9,212,1778,294.811320754717
rote_beete,Rote Beete,Beetroot,Rote Beete,vegetables & mushrooms,452,36.7,34.0,33,2.7,0.0,0.0,0.13,35.77,440,1231,102.72727272727272
rettich,Rettich,Radish,Rettich,vegetables & mushrooms,564,31.7,29.0,48,2.7,0.0,0.0,0.09,13.61,242,1778,233.05785123966945
rispentomaten,Rispentomaten,Vine tomatoes,Rispentomaten,vegetables & mushrooms,505,25.26,19.0,125,5.8,0.43,25.94,0.08,21.26,425,2000,118.82352941176472
romanesco,Romanesco,Romanesco,Romanesco,vegetables & mushrooms,476,38.65,33.0,70,5.7,0.0,0.0,0.13,16.29,200,1231,238.0
rosenkohl,Rosenkohl,Brussels sprouts,Rosenkohl,vegetables & mushrooms,569,56.88,52.0,49,4.9,0.0,0.0,0.16,33.53,335,1000,169.8507462686567
rotkohl,Rotkohl,Red cabbage,Rotkohl,vegetables & mushrooms,435,29.88,25.0,71,4.9,0.0,0.0,0.11,23.66,344,1455,126.45348837209302
rucola,Rucola,Arugula,Rucola,vegetables & mushrooms,469,35.18,29.0,82,6.2,0.0,0.0,0.12,28.42,379,1333,123.7467018469657
sauerkraut,Sauerkraut,Sauerkraut,Sauerkraut,vegetables & mushrooms,1024,57.59,44.59,231,13.0,0.0,0.0,0.09,19.11,340,1778,401.1764705882353
schalotte,Schalotte,Shallot,Schalotte,vegetables & mushrooms,425,37.19,35.0,25,2.2,0.0,0.0,0.14,12.76,146,1143,291.09589041095893
schwarzwurzel,Schwarzwurzel,Salsify,Schwarzwurzel,vegetables & mushrooms,211,17.7,15.0,32,2.7,0.0,0.0,0.134,52.82,631,1194,33.43898573692552
spinat,Spinat,Spinach,Spinat,vegetables & mushrooms,182,13.65,11.0,35,2.7,0.0,0.0,0.12,22.69,303,1333,60.06600660066007
sprossen,Sprossen,Sprouts,Sprossen,vegetables & mushrooms,208,26.0,13.0,104,13.0,0.0,0.0,0.2,54.93,439,800,47.380410022779046
stangensellerie,Stangensellerie,Celery,Stangensellerie,vegetables & mushrooms,649,44.63,38.0,96,6.6,0.0,0.0,0.11,9.03,131,1455,495.41984732824426
steckrueben,Steckrüben,Turnips,Steckrüben,vegetables & mushrooms,432,29.7,27.0,39,2.7,0.0,0.0,0.11,15.18,221,1455,195.47511312217196
steinpilze,Steinpilze,Ceps,Steinpilze,vegetables & mushrooms,617,54.73,50.0,53,4.7,0.0,0.0,0.142,31.55,355,1127,173.80281690140845
tomaten,Tomaten,Tomatoes,Tomaten,vegetables & mushrooms,525,26.26,20.0,125,5.8,0.43,25.94,0.08,21.26,425,2000,123.52941176470588
trueffel,Trüffel,Truffle,Trüffel,vegetables & mushrooms,838,104.73,100.0,38,4.7,0.0,0.0,0.2,31.05,248,800,337.9032258064516
weisser_spargel,Weißer Spargel,White asparagus,Weißer Spargel,vegetables & mushrooms,1075,80.63,64.0,222,10.7,5.95,357.12,0.12,20.15,269,1333,399.6282527881041
weisskohl,Weißkohl,White cabbage,Weißkohl,vegetables & mushrooms,435,29.88,25.0,71,4.9,0.0,0.0,0.11,23.66,344,1455,126.45348837209302
wilde_pilze,Waldpilze,Wild mushrooms,Waldpilze,vegetables & mushrooms,392,36.73,32.0,50,4.7,0.0,0.0,0.15,25.22,269,1067,145.72490706319704
wirsing,Wirsing,Savoy cabbage,Wirsing,vegetables & mushrooms,382,29.88,25.0,62,4.9,0.0,0.0,0.125,30.83,395,1280,96.70886075949367
zucchini,Zucchini,Zucchini,Zucchini,vegetables & mushrooms,360,22.48,19.0,56,3.5,0.0,0.0,0.1,16.62,266,1600,135.33834586466165
zuckerhut,Zuckerhut,Sugar loaf,Zuckerhut,vegetables & mushrooms,483,27.18,21.0,110,6.2,0.0,0.0,0.09,14.03,249,1778,193.97590361445785
zwiebeln,Zwiebeln,Onions,Zwiebeln,vegetables & mushrooms,545,37.5,35.0,36,2.5,0.0,0.0,0.11,35.82,521,1455,104.60652591170826
